"japanese","english"
"Tobi ","Jumping"
"Tobikomi z","Jumping snap punch (jab)"
"Tobi mawashi geri ","Jumping roundhouse kick"
"Torre ","Attacker"
"Torimasen ","Unacceptable as a scoring technique"
"Uchi ","Inwards"
"Uchi mawashi geri ","Inner roundhouse kick"
"Uchi uke ","Inner forearm block"
"Ude ","Forearm"
"Lgok' kata ","Movement"
"Uke ","Block, receiver or defender"
"Ura/ushiro ","Back"
"Uraken ","Back fist"
"Ura ","Inverted (upside down) punch"
"Ushiro geri ","Back kic"
"Ushiro kakato geri ","Spinning axe kick"
"Ushiro kin geri ","Sole of foot to groin of attacker at rear"
"Ushiro mawashi geri ","Back roundhouse/spinning hook kick"
"Waza ","Technique"
"Yame ","Stop"
"Yohi ","Ready stance"
"Yonhonme ","Number four"
"Yoko ","Side"
"Yoko geri ","Side kick/ front kick performed to the side"
"Yoku mite ","Look around you/heads up staff"
"Yonhon nukite ","Spear hand"
"Zanshin ","Fighting spirit and awareness"
"Zen kutsu dachi ","Forward stance"
"Zuki/","Punch"
